datetime,humidity,stations
1970-10-01,14.1,99999923225
1970-10-02,13.5,99999923225
1970-10-03,15.3,99999923225
1970-10-04,25.8,99999923225
1970-10-05,26.4,99999923225
1970-10-06,37.1,99999923225
1970-10-07,27.5,99999923225
1970-10-08,23.9,99999923225
1970-10-09,39.4,99999923225
1970-10-10,31.6,99999923225
1970-10-11,21.5,99999923225
1970-10-12,38.5,99999923225
1970-10-13,25.9,99999923225
1970-10-14,15.2,99999923225
1970-10-15,18.4,99999923225
1970-10-16,24.5,99999923225
1970-10-17,30.8,99999923225
1970-10-18,67.9,99999923225
1970-10-19,58.6,99999923225
1970-10-20,92.1,99999923225
1970-10-21,96.5,99999923225
1970-10-22,93.9,99999923225
1970-10-23,95.1,99999923225
1970-10-24,78.8,99999923225
1970-10-25,65.7,99999923225
1970-10-26,37.4,99999923225
1970-10-27,21.6,99999923225
1970-10-28,32.5,99999923225
1970-10-29,13.8,99999923225
1970-10-30,15.9,99999923225
1970-10-31,34.6,99999923225
1970-11-01,35.4,99999923225
1970-11-02,22.5,99999923225
1970-11-03,26.1,99999923225
1970-11-04,96.6,99999923225
1970-11-05,98.9,99999923225
1970-11-06,96.1,99999923225
1970-11-07,96.3,99999923225
1970-11-08,76.8,99999923225
1970-11-09,97.3,99999923225
1970-11-10,64.8,99999923225
1970-11-11,93.8,99999923225
1970-11-12,65.6,99999923225
1970-11-13,16.9,99999923225
1970-11-14,24.6,99999923225
1970-11-15,25.5,99999923225
1970-11-16,32.6,99999923225
1970-11-17,27.6,99999923225
1970-11-18,34.2,99999923225
1970-11-19,32.5,99999923225
1970-11-20,38.7,99999923225
1970-11-21,50.3,99999923225
1970-11-22,64.4,99999923225
1970-11-23,31.4,99999923225
1970-11-24,45.9,99999923225
1970-11-25,97.1,99999923225
1970-11-26,100,99999923225
1970-11-27,88.8,99999923225
1970-11-28,98.3,99999923225
1970-11-29,89.6,99999923225
1970-11-30,100,99999923225
1970-12-01,100,99999923225
1970-12-02,100,99999923225
1970-12-03,100,99999923225
1970-12-04,98.8,99999923225
1970-12-05,81.9,99999923225
1970-12-06,65.3,99999923225
1970-12-07,75.6,99999923225
1970-12-08,97.7,99999923225
1970-12-09,83.8,99999923225
1970-12-10,26.4,99999923225
1970-12-11,62.2,99999923225
1970-12-12,36.5,99999923225
1970-12-13,59.1,99999923225
1970-12-14,66.5,99999923225
1970-12-15,51.9,99999923225
1970-12-16,100,99999923225
1970-12-17,100,99999923225
1970-12-18,100,99999923225
1970-12-19,75.9,99999923225
1970-12-20,100,99999923225
1970-12-21,98.8,99999923225
1970-12-22,83.2,99999923225
1970-12-23,73.6,99999923225
1970-12-24,45.4,99999923225
1970-12-25,35.7,99999923225
1970-12-26,98.8,99999923225
1970-12-27,98.8,99999923225
1970-12-28,100,99999923225
1970-12-29,98.3,99999923225
1970-12-30,74.9,99999923225
1970-12-31,57.9,99999923225
1971-01-01,48.5,99999923225
1971-01-02,46.9,99999923225
1971-01-03,24.2,99999923225
1971-01-04,20.3,99999923225
1971-01-05,40.7,99999923225
1971-01-06,45.1,99999923225
1971-01-07,59.6,99999923225
1971-01-08,49.9,99999923225
1971-01-09,67.2,99999923225
1971-01-10,98.3,99999923225
1971-01-11,98.8,99999923225
1971-01-12,93.4,99999923225
1971-01-13,100,99999923225
1971-01-14,100,99999923225
1971-01-15,97,99999923225
1971-01-16,79.1,99999923225
1971-01-17,98.4,99999923225
1971-01-18,63.9,99999923225
1971-01-19,45.8,99999923225
1971-01-20,66.2,99999923225
1971-01-21,37.5,99999923225
1971-01-22,41.3,99999923225
1971-01-23,41.7,99999923225
1971-01-24,60.7,99999923225
1971-01-25,28.5,99999923225
